id;legoid;name;hex;r;g;b
182;1056;Trans-Brown Opal;583927;88;57;39
185;1059;Trans-Purple Opal;8320B7;131;32;183
187;1061;Trans-Dark Blue Opal;0020A0;0;32;160
188;1062;Lemon;EBD800;235;216;0
127;1001;Medium Violet;9,391E+07;147;145;228
151;1025;Modulex Orange;F47B30;244;123;48
132;1006;Trans-Light Royal Blue;B4D4F7;180;212;247
157;1031;Modulex Olive Green;7C9051;124;144;81
92;178;Flat Dark Gold;B48455;180;132;85
175;1049;Modulex Foil Orange;F7AD63;247;173;99
184;1058;Trans-Light Green;94E5AB;148;229;171
150;1024;Modulex Pink Red;F45C40;244;92;64
158;1032;Modulex Aqua Green;27867E;39;134;126
176;1050;Coral;FF698F;255;105;143
186;1060;Trans-Green Opal;84B68D;132;182;141
145;1019;Modulex Tile Brown;330000;51;0;0
163;1037;Modulex Violet;BD7D85;189;125;133
149;1023;Modulex Red;B52C20;181;44;32
167;1041;Modulex Foil Light Gray;9C9C9C;156;156;156
172;1046;Modulex Foil Violet;4B0082;75;0;130
161;1035;Modulex Medium Blue;61AFFF;97;175;255
160;1034;Modulex Tile Blue;0057A6;0;87;166
168;1042;Modulex Foil Dark Green;6400;0;100;0
89;150;Pearl Very Light Gray;ABADAC;171;173;172
52;69;Light Purple;CD6298;205;98;152
4;3;Dark Turquoise;008F9B;0;143;155
28;29;Bright Pink;E4ADC8;228;173;200
8;7;Light Gray;9BA19D;155;161;157
90;151;Very Light Bluish Gray;E6E3E0;230;227;224
126;1000;Glow in Dark White;D9D9D9;217;217;217
3;2;Green;237841;35;120;65
12;11;Light Turquoise;55A5AF;85;165;175
20;20;Light Violet;C9CAE2;201;202;226
26;27;Lime;BBE90B;187;233;11
103;272;Dark Blue;0A3463;10;52;99
162;1036;Modulex Pastel Blue;68AECE;104;174;206
82;133;Speckle Black-Gold;05131D;5;19;29
35;36;Trans-Red;C91A09;201;26;9
130;1004;Trans-Flame Yellowish Orange;FCB76D;252;183;109
87;143;Trans-Medium Blue;CFE2F7;207;226;247
63;80;Metallic Silver;A5A9B4;165;169;180
84;135;Pearl Light Gray;9CA3A8;156;163;168
96;191;Bright Light Orange;F8BB3D;248;187;61
125;503;Very Light Gray;E6E3DA;230;227;218
110;321;Dark Azure;078BC9;7;139;201
40;45;Trans-Dark Pink;DF6695;223;102;149
147;1021;Modulex Brown;907450;144;116;80
72;110;Violet;4354A3;67;84;163
70;92;Flesh;D09168;208;145;104
173;1047;Modulex Foil Red;8B0000;139;0;0
180;1054;Trans-Medium Reddish Violet Opal;CE1D9B;206;29;155
98;216;Rust;B31004;179;16;4
7;6;Brown;583927;88;57;39
152;1026;Modulex Light Orange;F7AD63;247;173;99
51;68;Very Light Orange;F3CF9B;243;207;155
75;115;Medium Lime;C7D23C;199;210;60
117;366;Earth Orange;FA9C1C;250;156;28
21;21;Glow In Dark Opaque;D4D5C9;212;213;201
